id,titre,source,date_publication,lien,resume,langue,date_ajout
236,Trump said Putin is willing to meet for peace talks - UA.NEWS,Google News — peace talks,2026-09-22T18:34:38+00:00,https://news.google.com/rss/articles/CBMinAFBVV95cUxPNVUtWEJMbVVyTlY5eExpbkp6OEZRblg4MGowcS1rc0UzRS12dHAxNkpjUFhoZEhRdl9wUmpnYXNGVHJHNThWVVhtRkJndXh3UktvVDFlSU9hYVhPSmQyRldtSTNrZFRfQXYtZ0Zya1VkZDFEeDFNa2xrMG5nY3NTV0VrWUNfZk0xQ01jTF80V0YwMG15UlE2S1FMT2s?oc=5,Trump said Putin is willing to meet for peace talks UA.NEWS,en,2026-09-22T19:03:53+00:00
232,"Trump talks peace, threatens annihilation of Iran in UNGA speech - Politico",Google News — peace talks,2026-09-22T18:06:00+00:00,https://news.google.com/rss/articles/CBMijgFBVV95cUxQanBYUW5GMEhURmVGN2Q0a2I5bHJteEx6WDY1cV9mSEMzMXlaX1hid2h4bXlsOWJwTGl2N1FaeXpFdmk2NUtrMVdYY1NvWC1oWDdIOWd6amxxOFhadjA2M0lYX1h1THNDTmRKSXFSdDI4djNGbTk3aXJrekp6dS1TVzBHZGFDREhyZ19udmFn?oc=5,"Trump talks peace, threatens annihilation of Iran in UNGA speech Politico",en,2026-09-22T19:03:53+00:00
258,"Video: Kyiv residents want peace, unsure Zelenskiy-Trump talks can deliver - livetube.tv",Google News — peace talks,2026-09-22T17:12:22+00:00,https://news.google.com/rss/articles/CBMiowFBVV95cUxQVnY2MmdvTTNnVnY1UVpmeVYxRk9fZ2RJWURnRndhWi1lNXdZSEpwQk5abk9mVEhpVHFLeUZtUTRCOWk5bUxtTFdnMDY1RVNGZnVKY0xsekhtTzZ6ZEVOdzRPOGJHdVdSbXRrck9KTXpYXzZXME1IWjFUTmtPOTI2akNMcEZBOTdWNDRpX3dRU2ZzVU4tNkdDNlVaQUtyWjEtd0ZB?oc=5,"Video: Kyiv residents want peace, unsure Zelenskiy-Trump talks can deliver livetube.tv",en,2026-09-22T19:03:53+00:00
276,"President Erdoğan voices hope for lasting peace between Azerbaijan, Armenia - trend.az",Google News — peace talks,2026-09-22T17:00:51+00:00,https://news.google.com/rss/articles/CBMiY0FVX3lxTE16NTQ5dVNxNE95cnV0Mkw0U2M4MUpsQjh2ZUdVaTRnR3pOTWJSblZ2YWR5M3F6RURIT0c5SVRjc3BqV3ZsZDVEVjVoX0tFdmZiZVo5Y0FkZUJINGlmMXpCa05JQQ?oc=5,"President Erdoğan voices hope for lasting peace between Azerbaijan, Armenia trend.az",en,2026-09-22T19:03:53+00:00
242,"Kyiv residents want peace, unsure Zelenskiy-Trump talks can deliver - Reuters",Google News — peace talks,2026-09-22T16:11:22+00:00,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE84aXRzSENiT09XRVAwSU5SV2VpSUlMNnlmdVJncGtoemdaY3M0bFhvVXZqdkpvNEpfMGQ3UXFvQjNIcFRIOGlyR01PWWg4dDFJOHVSeXMwQ29IRXdlSTVtd3RaOGRXeUU?oc=5,"Kyiv residents want peace, unsure Zelenskiy-Trump talks can deliver Reuters",en,2026-09-22T19:03:53+00:00
235,Zelenskyy Seeks Global Support Amid Revived Peace Talks - 조선일보,Google News — peace talks,2026-09-22T15:52:59+00:00,https://news.google.com/rss/articles/CBMihAFBVV95cUxNeXhraU1zTjBWNUtrRDlmMmRpTHJZZ21mTjloQThoTklZNEh4R0F6LXpKV0JUNldBQTUwQXJITFpiX3QwZjlhc0FCZlJ2ZUwxNGFaRGJ2X3gwQ0hibm1qOFdFWDdBRURlQW9LM1hHQTREaW83WXBNNE1ta19GdXhUNXV4WFU?oc=5,Zelenskyy Seeks Global Support Amid Revived Peace Talks 조선일보,en,2026-09-22T19:03:53+00:00
265,Russian stocks rally as Trump-Zelensky meet-up revives peace hopes - Kursiv Media,Google News — peace talks,2026-09-22T15:51:50+00:00,https://news.google.com/rss/articles/CBMigwFBVV95cUxNaV93UmhWTlRNQlhZNWxLUjQtdEp0SUxpWDk1MkFYRFZmek5DZkZSNkRFcm5NUWZjVzViZjFpQ21yemlQTkhKWDJoaTBEQzktSFRkVGgwcmJ6YnVqZHZZOWZkNVZlNkZTbTZwYi02alJkS0dLNndOalVxNkJxWHNnZm44QQ?oc=5,Russian stocks rally as Trump-Zelensky meet-up revives peace hopes Kursiv Media,en,2026-09-22T19:03:53+00:00
251,Iran offers to reopen Strait of Hormuz if US ends blockade: ‘Golden opportunity’ - New York Post,Google News — peace talks,2026-09-22T15:16:00+00:00,https://news.google.com/rss/articles/CBMitwFBVV95cUxPbEU0LUw0UmdsbUt2SEZxby1LTUxPRGlrV0hqY1QtWFdaVVRpSUU4TmVLUU04bXJYWXpTZTJOSU41b1NNa0pjZ2puRkItS01mc1pWc1ZQa09henJlektibk1EdDNObUVmMjVQYmZWNkhGbTRRaFQyUHVwUm1rQVlwM0hSTnlwNTFKNEZhUGNLSEZUTmlWSDVZUFRZdnQtMXVsQU4teml6X0J1dDVtT2Q4emdVWXVkWTA?oc=5,Iran offers to reopen Strait of Hormuz if US ends blockade: ‘Golden opportunity’ New York Post,en,2026-09-22T19:03:53+00:00
233,"EXCLUSIVE: Standoff with Trump administration sidelines UN refugee agency deputy, sources say - Reuters",Google News — peace talks,2026-09-22T15:09:44+00:00,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOM2FPQlZGM2E2UksyUktZUUJFclFmWFBRdE9lMnhxZ041WUNUcDhSRXp0bXo4OEhVYjloY3lOdWFURVoza3RwUnNGOUo1dlBPVjhEQVZ4dzc2dFJfUV9CeWx3SkU2ZWY5MUJBc29xVXdOaFZOMWhMNXJJMlFRSV90MUxEUlF5ZjV1dnJ0YTZMS2wzTW14N0Y4enVKNC1hNVNKcEw5Y2lCcDFhTTZrbl9hYVhfbUVEMTZxRldR?oc=5,"EXCLUSIVE: Standoff with Trump administration sidelines UN refugee agency deputy, sources say Reuters",en,2026-09-22T19:03:53+00:00
420,Une frappe russe fait quatre morts en Ukraine : Zelensky tente de relancer les négociations - France 24,Google Actualités — négociations de paix,2026-09-22T15:07:09+00:00,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQR2NNbHQxbkJ5RERSTnJ6SXllSzFoYjJ4cHIzWHVMb2cwdVZRUWdmbTByLWRBQWZRTFcyR3k4eWVpdDhuZGNhQnl5UGp4Z2NGZkVNYmlDVEZ5MVcxLVJBUFk3bnRVeXk0andMekhRdTBpdUhlMmswSnZ5WVlTaDBiQzZtdzhUUDRZLUF1VEpTT1dmR3VYb05jS3RTRXkyUEl0UG1sMzhzcmlneUdEWEtPN3VPLUZCLWVJN1RCdENCc3BlanBueW5rYjNubGRXSmF4cmxVMEJpTWtVZw?oc=5,Une frappe russe fait quatre morts en Ukraine : Zelensky tente de relancer les négociations France 24,fr,2026-09-22T19:03:53+00:00
